priority,article_id,current_state,problem,change_location,change_candidate,link_source,link_target,anchor_candidate,utm,reason,verification,decision_status
P1,n5ffb8e639541,Old LINE identifier and an age-anxiety related-link label were observed in the Phase01 post-work audit.,OLD_LINE_AND_AGE_ANXIETY_LINK_TEXT,related links and article LINE CTA,"Replace hX5uJxc with rG3y2px and describe the related article by the hair concern, without age-anxiety wording.",n5ffb8e639541,https://lin.ee/rG3y2px,顔まわりと髪の動きを整える考え方を相談する,NONE,Use the current LINE route and remove unnecessary age anxiety.,Re-fetch the public article; old LINE count=0 and flagged related-link text count=0.,CONFIRMED_QUEUE
P1,n65308cfb33d5,Cause article; no confirmed reciprocal link to the recovery article.,CAUSE_RECOVERY_CONNECTION_MISSING,after the cause explanation,Add one clean note link to nc618049c3261 for readers already in an over-thinned state.,n65308cfb33d5,https://note.com/koichi_ikeda/n/nc618049c3261,すでに軽くしすぎて広がっている時の整え方を見る,NONE,Separate cause understanding from recovery intent without merging the articles.,Public body contains the clean canonical target URL and no utm_source=chatgpt.com on note links.,CONFIRMED_QUEUE
P1,nc618049c3261,Recovery article; no confirmed reciprocal link to the cause article and historical note links contain chatgpt.com UTM.,RECOVERY_CAUSE_CONNECTION_AND_INTERNAL_UTM,introductory or closing related-reading section,Add one clean note link to n65308cfb33d5 and remove tracking parameters from every note-to-note link.,nc618049c3261,https://note.com/koichi_ikeda/n/n65308cfb33d5,軽くした後に広がる原因から確認する,NONE,Make recovery and cause articles complementary and keep internal links canonical.,Public body contains the reciprocal clean URL; internal UTM violation count=0.,CONFIRMED_QUEUE
P1,n4e9335e91aff,The anchor text 'ということです。' links to the consultation site.,AMBIGUOUS_CONSULTATION_ANCHOR,opening section after the explanation of selection criteria,"Replace the linked phrase with a reason to click, without changing the surrounding factual content.",n4e9335e91aff,https://ikeda-hair-consultation.ikedakoichi7326.chatgpt.site/,髪や頭皮の悩みを整理して相談する,NONE,The reader should understand the destination before clicking.,Re-fetch the public body; ambiguous linked phrase count=0 and destination unchanged.,CONFIRMED_QUEUE
P2,CEP1_CHANGE_WITHOUT_FAILURE,Theme path is missing: case,THEME_PATH_EVIDENCE_GAP,existing article registry and verified case evidence,First search existing verified cases and strengthen or connect an existing article; create a new article only if the documented daily gate passes.,n2e003f966836,n34713b0fb6e9,UNKNOWN_UNTIL_CASE_EXISTS,utm_source=note&utm_medium=article&utm_campaign=change_without_failure,Do not fabricate a case to make the funnel look complete.,The selected case must have verified source evidence and the live article links must form entry -> judgment -> case -> bridge.,HUMAN_REVIEW_REQUIRED
P2,CEP2_GRAY_HAIR_NOT_DARK,Theme path is missing: case,THEME_PATH_EVIDENCE_GAP,existing article registry and verified case evidence,First search existing verified cases and strengthen or connect an existing article; create a new article only if the documented daily gate passes.,n341eb4c05451,n34713b0fb6e9,UNKNOWN_UNTIL_CASE_EXISTS,utm_source=note&utm_medium=article&utm_campaign=gray_hair_not_dark,Do not fabricate a case to make the funnel look complete.,The selected case must have verified source evidence and the live article links must form entry -> judgment -> case -> bridge.,HUMAN_REVIEW_REQUIRED
P2,CEP4_SHORT_HAIR_ANXIETY,Theme path is missing: case,THEME_PATH_EVIDENCE_GAP,existing article registry and verified case evidence,First search existing verified cases and strengthen or connect an existing article; create a new article only if the documented daily gate passes.,nc947fab7f07e,n34713b0fb6e9,UNKNOWN_UNTIL_CASE_EXISTS,utm_source=note&utm_medium=article&utm_campaign=short_hair_anxiety,Do not fabricate a case to make the funnel look complete.,The selected case must have verified source evidence and the live article links must form entry -> judgment -> case -> bridge.,HUMAN_REVIEW_REQUIRED
P2,CEP1_CHANGE_WITHOUT_FAILURE,Customer-question stages are missing: post_treatment_change,CUSTOMER_QUESTION_GAP,existing articles and verified field evidence,"Resolve in order: add evidence-bounded content to an existing article, connect existing articles, then consider a new article only after the daily gate passes.",THEME_GAP_MATRIX,EXISTING_ARTICLE_FIRST,UNKNOWN_UNTIL_ARTICLE_IS_SELECTED,FOLLOW_THEME_CAMPAIGN_ONLY_IF_LINKING_TO_OFFICIAL_WEB,A gap is not permission to invent a customer question or treatment outcome.,Update the gap matrix with a real article ID and source evidence; rerun the audit.,HUMAN_REVIEW_REQUIRED
P2,CEP4_SHORT_HAIR_ANXIETY,Customer-question stages are missing: method_comparison;post_treatment_change,CUSTOMER_QUESTION_GAP,existing articles and verified field evidence,"Resolve in order: add evidence-bounded content to an existing article, connect existing articles, then consider a new article only after the daily gate passes.",THEME_GAP_MATRIX,EXISTING_ARTICLE_FIRST,UNKNOWN_UNTIL_ARTICLE_IS_SELECTED,FOLLOW_THEME_CAMPAIGN_ONLY_IF_LINKING_TO_OFFICIAL_WEB,A gap is not permission to invent a customer question or treatment outcome.,Update the gap matrix with a real article ID and source evidence; rerun the audit.,HUMAN_REVIEW_REQUIRED
P1,n857bdffbf113,Public body contains the old LINE identifier hX5uJxc.,OLD_LINE,LINE links in the article body,Replace only the destination with the current LINE URL; preserve factual article content.,n857bdffbf113,https://lin.ee/rG3y2px,https://lin.ee/hX5uJxc,NONE,The live full-inventory audit found an old identifier outside the five-row Phase01 delta.,Re-fetch the public body; hX5uJxc count=0 and rG3y2px is present where a LINE link remains.,OBSERVED_QUEUE
P2,n857bdffbf113,3 note-to-note links contain tracking parameters.,INTERNAL_UTM_CONTAMINATION,note-to-note links in the article body,Remove query parameters and retain canonical note article URLs.,n857bdffbf113,n341eb4c05451;nacbe18cfbbc2;ne5cd7acfddda,KEEP_EXISTING_MEANINGFUL_TEXT,NONE,Internal note links do not need acquisition tracking and chatgpt.com attribution is not an article source.,Re-fetch the public body; every note-to-note link has utm_status=OK.,OBSERVED_QUEUE
P1,n7abf88d82b87,Public body contains the old LINE identifier hX5uJxc.,OLD_LINE,LINE links in the article body,Replace only the destination with the current LINE URL; preserve factual article content.,n7abf88d82b87,https://lin.ee/rG3y2px,公式LINEはこちら,NONE,The live full-inventory audit found an old identifier outside the five-row Phase01 delta.,Re-fetch the public body; hX5uJxc count=0 and rG3y2px is present where a LINE link remains.,OBSERVED_QUEUE
P2,nfdc25e93418f,4 note-to-note links contain tracking parameters.,INTERNAL_UTM_CONTAMINATION,note-to-note links in the article body,Remove query parameters and retain canonical note article URLs.,nfdc25e93418f,n4a9b55a64e75;n7abf88d82b87;nacbe18cfbbc2;nadbc274ac777,KEEP_EXISTING_MEANINGFUL_TEXT,NONE,Internal note links do not need acquisition tracking and chatgpt.com attribution is not an article source.,Re-fetch the public body; every note-to-note link has utm_status=OK.,OBSERVED_QUEUE
P2,nf29ebc26bd76,4 note-to-note links contain tracking parameters.,INTERNAL_UTM_CONTAMINATION,note-to-note links in the article body,Remove query parameters and retain canonical note article URLs.,nf29ebc26bd76,n47ad7c3d95fe;nacbe18cfbbc2;nec839cc36cac;nfdc25e93418f,KEEP_EXISTING_MEANINGFUL_TEXT,NONE,Internal note links do not need acquisition tracking and chatgpt.com attribution is not an article source.,Re-fetch the public body; every note-to-note link has utm_status=OK.,OBSERVED_QUEUE
P2,n820d578c951d,4 note-to-note links contain tracking parameters.,INTERNAL_UTM_CONTAMINATION,note-to-note links in the article body,Remove query parameters and retain canonical note article URLs.,n820d578c951d,n4a9b55a64e75;n5ffb8e639541;n61dedbe2b8f9;nacbe18cfbbc2,KEEP_EXISTING_MEANINGFUL_TEXT,NONE,Internal note links do not need acquisition tracking and chatgpt.com attribution is not an article source.,Re-fetch the public body; every note-to-note link has utm_status=OK.,OBSERVED_QUEUE
P2,n26cb6103892a,7 note-to-note links contain tracking parameters.,INTERNAL_UTM_CONTAMINATION,note-to-note links in the article body,Remove query parameters and retain canonical note article URLs.,n26cb6103892a,n341eb4c05451;n5ffb8e639541;n61dedbe2b8f9;n7abf88d82b87;nacbe18cfbbc2;ne5cd7acfddda;nff5536b5d028,KEEP_EXISTING_MEANINGFUL_TEXT,NONE,Internal note links do not need acquisition tracking and chatgpt.com attribution is not an article source.,Re-fetch the public body; every note-to-note link has utm_status=OK.,OBSERVED_QUEUE
