article_id,published_date,title,url,free_or_paid,content_type,primary_product,score,priority,existing_cta,new_cta,edit_status,public_verified,reason
"nb4e5373b26b4","2026-08-27","美容師の経験を、AIで「次に使える形」に変える方法","https://note.com/ikeda_dx/n/nb4e5373b26b4","paid","C","P1500","10","PRIORITY_A","なし","未実装（ブラウザ停止）","NO_CHANGE","未確認","旗艦商品"
"n2181c7875fa1","2026-09-15","AIを使えば、仕事は減る。","https://note.com/ikeda_dx/n/n2181c7875fa1","paid","A","P500","9","PRIORITY_A","なし","未実装（ブラウザ停止）","NO_CHANGE","未確認","コピペ削減"
"n32daf2fbb2a2","2026-09-15","ChatGPTを仕事で使っていると、便利なはずなのに、妙に面倒なことが出てきます。","https://note.com/ikeda_dx/n/n32daf2fbb2a2","paid","A","P100","9","PRIORITY_A","なし","タイトル変更済み・公開反映未確認","PUBLIC_CHECK_PENDING","未確認","AIへ渡す前の整理"
"n066d61314b36","UNKNOWN","AIに来店前相談を任せてみて分かったこと","https://note.com/ikeda_dx/n/n066d61314b36","free","B","NO_PRODUCT","4","PRIORITY_C","未確認（ブラウザ停止）","そのまま","NO_CHANGE","未確認","本文監査によるテーマ一致の編集判断"
"ne41aa3832089","UNKNOWN","美容師の経験は、記録しただけでは資産にならない","https://note.com/ikeda_dx/n/ne41aa3832089","free","A","P1500","9","PRIORITY_A","未確認（ブラウザ停止）","美容師の経験を、記録しただけで終わらせず、次の仕事で使える形にするまでの手順を、僕が実際に試している方法としてまとめています。 https://note.com/ikeda_dx/n/nb4e5373b26b4","CTA_ADDED","確認済み","本文の経験整理から旗艦商品へ接続"
"ne8919c91b56a","UNKNOWN","AIを使う美容師と、AIに仕事を渡せる美容師は何が違うのか","https://note.com/ikeda_dx/n/ne8919c91b56a","free","C","P500","8","PRIORITY_A","未確認（ブラウザ停止）","未実装（ブラウザ停止）","BLOCKED_BROWSER_SESSION","未確認","本文監査によるテーマ一致の編集判断"
"n41ff077db644","UNKNOWN","AIで発信量を増やすより、一次情報を増やした方がいいと思っている","https://note.com/ikeda_dx/n/n41ff077db644","free","C","P1500","8","PRIORITY_A","本文途中に誤挿入","削除対象：CTA文とP1500 URLのみ","REPAIR_REQUIRED_BROWSER_UNAVAILABLE","NOT_VERIFIED","ブラウザ接続不能。本文の安全な修復と公開確認から再開"
"ncd9397117e45","UNKNOWN","AIに仕事を任せるほど、美容師である私に残す仕事がはっきりしてきた","https://note.com/ikeda_dx/n/ncd9397117e45","free","C","P500","8","PRIORITY_A","未確認（ブラウザ停止）","未実装（ブラウザ停止）","BLOCKED_BROWSER_SESSION","未確認","本文監査によるテーマ一致の編集判断"
"n277e880bf3fa","UNKNOWN","美容師の経験は、本当に“売れるもの”なのか","https://note.com/ikeda_dx/n/n277e880bf3fa","free","A","P1500","7","PRIORITY_B","未確認（ブラウザ停止）","未実装（ブラウザ停止）","BLOCKED_BROWSER_SESSION","未確認","本文監査によるテーマ一致の編集判断"
"n966a16090517","UNKNOWN","美容師がAIに相談する時、答えより「問い」の方が重要だと思う理由","https://note.com/ikeda_dx/n/n966a16090517","free","C","P100","7","PRIORITY_B","未確認（ブラウザ停止）","未実装（ブラウザ停止）","BLOCKED_BROWSER_SESSION","未確認","本文監査によるテーマ一致の編集判断"
"n65d807a2c46b","UNKNOWN","AIに全部任せない方が、結果的に仕事は速くなる","https://note.com/ikeda_dx/n/n65d807a2c46b","free","C","P500","8","PRIORITY_A","未確認（ブラウザ停止）","未実装（ブラウザ停止）","BLOCKED_BROWSER_SESSION","未確認","本文監査によるテーマ一致の編集判断"
