source_article_id,source_url,target_type,target_article_id,target_url,anchor_text,utm_source,utm_medium,utm_campaign,utm_status,anchor_status
n857bdffbf113,https://note.com/koichi_ikeda/n/n857bdffbf113,NOTE_ARTICLE,n341eb4c05451,https://note.com/koichi_ikeda/n/n341eb4c05451?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n341eb4c05451,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n857bdffbf113,https://note.com/koichi_ikeda/n/n857bdffbf113,NOTE_ARTICLE,nacbe18cfbbc2,https://note.com/koichi_ikeda/n/nacbe18cfbbc2?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/nacbe18cfbbc2,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n857bdffbf113,https://note.com/koichi_ikeda/n/n857bdffbf113,NOTE_ARTICLE,ne5cd7acfddda,https://note.com/koichi_ikeda/n/ne5cd7acfddda?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/ne5cd7acfddda,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n857bdffbf113,https://note.com/koichi_ikeda/n/n857bdffbf113,LINE,,https://lin.ee/hX5uJxc,https://lin.ee/hX5uJxc,,,,NOT_APPLICABLE,OK
n27c3d56b341b,https://note.com/koichi_ikeda/n/n27c3d56b341b,NOTE_ARTICLE,nacbe18cfbbc2,https://note.com/koichi_ikeda/n/nacbe18cfbbc2,三田市で髪型やメニューについて相談できる美容師を探している方へ｜初めてのご予約前に,,,,OK,OK
n27c3d56b341b,https://note.com/koichi_ikeda/n/n27c3d56b341b,NOTE_ARTICLE,ne5cd7acfddda,https://note.com/koichi_ikeda/n/ne5cd7acfddda,SARAJU三田店 美容師 池田航一｜メニュー・料金・場所・予約方法,,,,OK,OK
n27c3d56b341b,https://note.com/koichi_ikeda/n/n27c3d56b341b,NOTE_ARTICLE,nacbe18cfbbc2,https://note.com/koichi_ikeda/n/nacbe18cfbbc2,https://note.com/koichi_ikeda/n/nacbe18cfbbc2,,,,OK,OK
n27c3d56b341b,https://note.com/koichi_ikeda/n/n27c3d56b341b,CONSULTATION,,https://ikeda-hair-consultation.ikedakoichi7326.chatgpt.site/,https://ikeda-hair-consultation.ikedakoichi7326.chatgpt.site/,,,,NOT_APPLICABLE,OK
ne5cd7acfddda,https://note.com/koichi_ikeda/n/ne5cd7acfddda,NOTE_ARTICLE,nacbe18cfbbc2,https://note.com/koichi_ikeda/n/nacbe18cfbbc2,髪型・メニューの相談方法を見る,,,,OK,OK
ne5cd7acfddda,https://note.com/koichi_ikeda/n/ne5cd7acfddda,RESERVATION,,https://y7xzhn.b-merit.jp/n3icrs/web/?shop_user_id=210872&_gl=1%2A1w8pi5x%2A_ga%2AMTI0NTcwMjQ0OS4xNzczNDg4ODA4%2A_ga_2DCQC7HKLD%2AczE3ODcwMTUxOTEkbzIwOCRnMSR0MTc4NzAxNTE5MyRqNTgkbDAkaDA.,Web予約から空き状況を確認する,,,,NOT_APPLICABLE,OK
ne5cd7acfddda,https://note.com/koichi_ikeda/n/ne5cd7acfddda,NOTE_ARTICLE,nacbe18cfbbc2,https://note.com/koichi_ikeda/n/nacbe18cfbbc2,髪型やメニューについて相談できる美容師を探している方へ｜初めてのご予約前に,,,,OK,OK
ne5cd7acfddda,https://note.com/koichi_ikeda/n/ne5cd7acfddda,EXTERNAL,,https://www.instagram.com/sanda_layercut_ikeda,https://www.instagram.com/sanda_layercut_ikeda,,,,NOT_APPLICABLE,OK
ne5cd7acfddda,https://note.com/koichi_ikeda/n/ne5cd7acfddda,LINE,,https://lin.ee/QD7Izn9?utm_source=chatgpt.com,LINEで相談する,chatgpt.com,,,NOT_APPLICABLE,OK
n7abf88d82b87,https://note.com/koichi_ikeda/n/n7abf88d82b87,NOTE_ARTICLE,n341eb4c05451,https://note.com/koichi_ikeda/n/n341eb4c05451,三田市で白髪をどうするか迷っている方へ｜白髪染め・白髪ぼかし・明るい白髪染めをどう選ぶ？,,,,OK,OK
n7abf88d82b87,https://note.com/koichi_ikeda/n/n7abf88d82b87,NOTE_ARTICLE,nacbe18cfbbc2,https://note.com/koichi_ikeda/n/nacbe18cfbbc2,三田市で髪型やメニューについて相談できる美容師を探している方へ｜初めてのご予約前に,,,,OK,OK
n7abf88d82b87,https://note.com/koichi_ikeda/n/n7abf88d82b87,NOTE_ARTICLE,ne5cd7acfddda,https://note.com/koichi_ikeda/n/ne5cd7acfddda,SARAJU三田店 池田航一｜メニュー・料金・場所・予約方法,,,,OK,OK
n7abf88d82b87,https://note.com/koichi_ikeda/n/n7abf88d82b87,LINE,,https://lin.ee/hX5uJxc,公式LINEはこちら,,,,NOT_APPLICABLE,OK
n7abf88d82b87,https://note.com/koichi_ikeda/n/n7abf88d82b87,EXTERNAL,,https://www.instagram.com/sanda_layercut_ikeda/,Instagramはこちら,,,,NOT_APPLICABLE,OK
nfdc25e93418f,https://note.com/koichi_ikeda/n/nfdc25e93418f,NOTE_ARTICLE,n4a9b55a64e75,https://note.com/koichi_ikeda/n/n4a9b55a64e75?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n4a9b55a64e75,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
nfdc25e93418f,https://note.com/koichi_ikeda/n/nfdc25e93418f,NOTE_ARTICLE,n7abf88d82b87,https://note.com/koichi_ikeda/n/n7abf88d82b87?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n7abf88d82b87,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
nfdc25e93418f,https://note.com/koichi_ikeda/n/nfdc25e93418f,NOTE_ARTICLE,nadbc274ac777,https://note.com/koichi_ikeda/n/nadbc274ac777?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/nadbc274ac777,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
nfdc25e93418f,https://note.com/koichi_ikeda/n/nfdc25e93418f,NOTE_ARTICLE,nacbe18cfbbc2,https://note.com/koichi_ikeda/n/nacbe18cfbbc2?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/nacbe18cfbbc2,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
