article_id,published_at_jst,title,url,live_status,inventory_as_of_jst,primary_theme,theme_status,primary_role,secondary_roles,role_status,search_intent,search_intent_status,source_strength,source_strength_status,observed_cta_types,recommended_primary_cta_candidate,official_web_connection,consultation_connection,line_connection,reservation_connection,internal_out_count,internal_in_count,one_way_out_count,isolated_graph,path_to_official_web,path_to_consultation,path_to_line,path_to_reservation,reachable_sink_types,brand_flags,old_line_flag,lifekarte_direct_flag,internal_utm_violation_count,official_utm_violation_count,ambiguous_anchor_count,case_fact_status,customer_reaction_status,note_seen,note_decisive,new_visit_involvement,search_exposure,discovery_value,understanding_value,decision_value,learning_value,ai_structure_coverage,ai_structure_missing,content_currentness,staleness_status,priority_score,priority_band,priority_reasons,human_review_required,legacy_registry_source
n857bdffbf113,2026-03-02T11:14:17.000+09:00,白髪を染めても、すぐ根元が気になる方へ｜暗く染める・明るくする・白髪ぼかしをどう考えるか,https://note.com/koichi_ikeda/n/n857bdffbf113,PUBLIC,2026-09-16,CEP2_GRAY_HAIR_NOT_DARK,TITLE_RULE,A_ENTRY,D_BRIDGE,LEGACY_REGISTRY,白髪を染めても、すぐ根元が気になる方へ｜暗く染める・明るくする・白髪ぼかしをどう考えるか,TITLE_PROXY,D_GENERAL_EXPLANATION,ARTICLE_TEXT_OPERATIONAL_CLASSIFICATION,LINE;NOTE_ARTICLE,RELATED_JUDGMENT_ARTICLE,NO,NO,YES,NO,3,1,3,NO,NO,YES,YES,YES,CONSULTATION;LINE;RESERVATION,NONE,YES,NO,3,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,POTENTIAL,UNKNOWN,UNKNOWN,AUDIENCE;CHECKS;CONCERN;JUDGMENT_BRANCH;NEXT_STEP;NOT_DO,ACTUAL_CASE,PUBLIC_SNAPSHOT_ONLY,UNKNOWN,40,P1_CANDIDATE,OLD_LINE;INTERNAL_UTM,YES,ikeda-official-web/note_article_registry_2026-09-13.csv
n27c3d56b341b,2026-03-02T14:56:05.000+09:00,髪型を決めてから来なくても大丈夫です｜美容師 池田航一が大切にしていること,https://note.com/koichi_ikeda/n/n27c3d56b341b,PUBLIC,2026-09-16,CEP1_CHANGE_WITHOUT_FAILURE,LEGACY_REGISTRY,A_ENTRY,D_BRIDGE,LEGACY_REGISTRY,髪型を決めてから来なくても大丈夫です｜美容師 池田航一が大切にしていること,TITLE_PROXY,D_GENERAL_EXPLANATION,ARTICLE_TEXT_OPERATIONAL_CLASSIFICATION,CONSULTATION;NOTE_ARTICLE,RELATED_JUDGMENT_ARTICLE,NO,YES,NO,NO,2,1,2,NO,NO,YES,YES,YES,CONSULTATION;LINE;RESERVATION,NONE,NO,NO,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,POTENTIAL,UNKNOWN,UNKNOWN,AUDIENCE;CHECKS;CONCERN;JUDGMENT_BRANCH;NEXT_STEP;NOT_DO,ACTUAL_CASE,PUBLIC_SNAPSHOT_ONLY,UNKNOWN,,OBSERVE,NONE,YES,ikeda-official-web/note_article_registry_2026-09-13.csv
ne5cd7acfddda,2026-03-02T19:01:59.000+09:00,三田市・SARAJU三田店 美容師 池田航一｜メニュー・料金・場所・予約方法,https://note.com/koichi_ikeda/n/ne5cd7acfddda,PUBLIC,2026-09-16,CROSS_THEME_BRIDGE,LEGACY_REGISTRY,D_BRIDGE,A_ENTRY,LEGACY_REGISTRY,三田市・SARAJU三田店 美容師 池田航一｜メニュー・料金・場所・予約方法,TITLE_PROXY,D_GENERAL_EXPLANATION,ARTICLE_TEXT_OPERATIONAL_CLASSIFICATION,EXTERNAL;LINE;NOTE_ARTICLE;RESERVATION,PRECONSULT?utm_source=note&utm_medium=article&utm_campaign=preconsult_bridge,NO,NO,YES,YES,1,24,,NO,NO,YES,YES,YES,CONSULTATION;LINE;RESERVATION,NONE,NO,NO,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,POTENTIAL,POTENTIAL,UNKNOWN,AUDIENCE;CHECKS;CONCERN;JUDGMENT_BRANCH;NEXT_STEP,ACTUAL_CASE;NOT_DO,PUBLIC_SNAPSHOT_ONLY,UNKNOWN,,OBSERVE,NONE,YES,ikeda-official-web/note_article_registry_2026-09-13.csv
n7abf88d82b87,2026-03-02T19:35:24.000+09:00,白髪染めを続けて髪が重く・暗く見える方へ｜白髪染めをやめる前に確認したいこと,https://note.com/koichi_ikeda/n/n7abf88d82b87,PUBLIC,2026-09-16,CEP2_GRAY_HAIR_NOT_DARK,TITLE_RULE,B_JUDGMENT,A_ENTRY;D_BRIDGE,LEGACY_REGISTRY,白髪染めを続けて髪が重く・暗く見える方へ｜白髪染めをやめる前に確認したいこと,TITLE_PROXY,B_PROFESSIONAL_JUDGMENT,ARTICLE_TEXT_OPERATIONAL_CLASSIFICATION,EXTERNAL;LINE;NOTE_ARTICLE,RELATED_CASE_OR_PRECONSULT,NO,NO,YES,NO,3,9,2,NO,NO,YES,YES,YES,CONSULTATION;LINE;RESERVATION,NONE,YES,NO,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SUPPORTED,POTENTIAL,UNKNOWN,AUDIENCE;CHECKS;CONCERN;JUDGMENT_BRANCH;NEXT_STEP;NOT_DO,ACTUAL_CASE,PUBLIC_SNAPSHOT_ONLY,UNKNOWN,25,P2_CANDIDATE,OLD_LINE,YES,ikeda-official-web/note_article_registry_2026-09-13.csv
nfdc25e93418f,2026-03-03T07:05:06.000+09:00,三田市で艶のあるカラーを考えている方へ｜髪がパサついて見える時、カラーで変えられること・変えにくいこと,https://note.com/koichi_ikeda/n/nfdc25e93418f,PUBLIC,2026-09-16,CEP6_COLOR_DECISION_CANDIDATE,TITLE_RULE_HUMAN_REVIEW,A_ENTRY,NONE,LEGACY_REGISTRY,三田市で艶のあるカラーを考えている方へ｜髪がパサついて見える時、カラーで変えられること・変えにくいこと,TITLE_PROXY,D_GENERAL_EXPLANATION,ARTICLE_TEXT_OPERATIONAL_CLASSIFICATION,NOTE_ARTICLE,RELATED_JUDGMENT_ARTICLE,NO,NO,NO,NO,4,5,4,NO,NO,YES,YES,YES,CONSULTATION;LINE;RESERVATION,NONE,NO,NO,4,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,POTENTIAL,UNKNOWN,UNKNOWN,AUDIENCE;CHECKS;CONCERN;JUDGMENT_BRANCH;NEXT_STEP;NOT_DO,ACTUAL_CASE,PUBLIC_SNAPSHOT_ONLY,UNKNOWN,15,P2_CANDIDATE,INTERNAL_UTM,YES,ikeda-official-web/note_article_registry_2026-09-13.csv
nf29ebc26bd76,2026-03-04T06:43:35.000+09:00,春になると髪がパサつく・ゴワつく方へ｜「花粉のせい」と決める前に確認したいこと,https://note.com/koichi_ikeda/n/nf29ebc26bd76,PUBLIC,2026-09-16,CEP3_FRIZZ_DECISION,LEGACY_REGISTRY,B_JUDGMENT,A_ENTRY,LEGACY_REGISTRY,春になると髪がパサつく・ゴワつく方へ｜「花粉のせい」と決める前に確認したいこと,TITLE_PROXY,B_PROFESSIONAL_JUDGMENT,ARTICLE_TEXT_OPERATIONAL_CLASSIFICATION,NOTE_ARTICLE,RELATED_CASE_OR_PRECONSULT,NO,NO,NO,NO,4,,4,NO,NO,YES,YES,YES,CONSULTATION;LINE;RESERVATION,NONE,NO,NO,4,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SUPPORTED,POTENTIAL,UNKNOWN,AUDIENCE;CHECKS;CONCERN;JUDGMENT_BRANCH;NEXT_STEP;NOT_DO,ACTUAL_CASE,PUBLIC_SNAPSHOT_ONLY,UNKNOWN,15,P2_CANDIDATE,INTERNAL_UTM,YES,ikeda-official-web/note_article_registry_2026-09-13.csv
n820d578c951d,2026-03-05T09:34:45.000+09:00,三田市でトップがぺたんこに見える方へ｜レイヤーを入れる前に確認したいこと,https://note.com/koichi_ikeda/n/n820d578c951d,PUBLIC,2026-09-16,CEP5_LIGHT_NOT_THIN,TITLE_RULE,B_JUDGMENT,A_ENTRY,LEGACY_REGISTRY,三田市でトップがぺたんこに見える方へ｜レイヤーを入れる前に確認したいこと,TITLE_PROXY,B_PROFESSIONAL_JUDGMENT,ARTICLE_TEXT_OPERATIONAL_CLASSIFICATION,NOTE_ARTICLE,RELATED_CASE_OR_PRECONSULT,NO,NO,NO,NO,4,3,4,NO,NO,YES,YES,YES,CONSULTATION;LINE;RESERVATION,AGE_ANXIETY:若見え,NO,NO,4,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SUPPORTED,POTENTIAL,UNKNOWN,AUDIENCE;CHECKS;CONCERN;JUDGMENT_BRANCH;NEXT_STEP;NOT_DO,ACTUAL_CASE,PUBLIC_SNAPSHOT_ONLY,UNKNOWN,35,P1_CANDIDATE,BRAND_REVIEW;INTERNAL_UTM,YES,ikeda-official-web/note_article_registry_2026-09-13.csv
n26cb6103892a,2026-03-06T06:56:23.000+09:00,【三田市】「白髪＝ロング卒業」はもう古い？40代から始める、艶髪ロング継続の条件,https://note.com/koichi_ikeda/n/n26cb6103892a,PUBLIC,2026-09-16,CEP2_GRAY_HAIR_NOT_DARK,TITLE_RULE,A_ENTRY,NONE,LEGACY_REGISTRY,【三田市】「白髪＝ロング卒業」はもう古い？40代から始める、艶髪ロング継続の条件,TITLE_PROXY,D_GENERAL_EXPLANATION,ARTICLE_TEXT_OPERATIONAL_CLASSIFICATION,NOTE_ARTICLE,RELATED_JUDGMENT_ARTICLE,NO,NO,NO,NO,7,1,7,NO,NO,YES,YES,YES,CONSULTATION;LINE;RESERVATION,AGE_ANXIETY:若見え;OVERCLAIM:必ず,NO,NO,7,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,POTENTIAL,UNKNOWN,UNKNOWN,AUDIENCE;CHECKS;CONCERN;JUDGMENT_BRANCH;NEXT_STEP;NOT_DO,ACTUAL_CASE,PUBLIC_SNAPSHOT_ONLY,UNKNOWN,35,P1_CANDIDATE,BRAND_REVIEW;INTERNAL_UTM,YES,ikeda-official-web/note_article_registry_2026-09-13.csv
nff5536b5d028,2026-03-07T07:32:59.000+09:00,三田市でミディアムレイヤーを考えている方へ｜結べる長さと毛先の厚みを残して変える考え方,https://note.com/koichi_ikeda/n/nff5536b5d028,PUBLIC,2026-09-16,CEP5_LIGHT_NOT_THIN,TITLE_RULE,A_ENTRY,D_BRIDGE,LEGACY_REGISTRY,三田市でミディアムレイヤーを考えている方へ｜結べる長さと毛先の厚みを残して変える考え方,TITLE_PROXY,D_GENERAL_EXPLANATION,ARTICLE_TEXT_OPERATIONAL_CLASSIFICATION,EXTERNAL;LINE;NOTE_ARTICLE,RELATED_JUDGMENT_ARTICLE,NO,NO,YES,NO,4,5,3,NO,NO,YES,YES,YES,CONSULTATION;LINE;RESERVATION,AGE_ANXIETY:老け(?:て)?見え;OVERCLAIM:必ず,YES,NO,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CONFIRMED,CONFIRMED,POTENTIAL,UNKNOWN,UNKNOWN,AUDIENCE;CHECKS;CONCERN;JUDGMENT_BRANCH;NEXT_STEP;NOT_DO,ACTUAL_CASE,PUBLIC_SNAPSHOT_ONLY,UNKNOWN,45,P1_CANDIDATE,OLD_LINE;BRAND_REVIEW,YES,ikeda-official-web/note_article_registry_2026-09-13.csv
n8ee093a81681,2026-03-08T08:03:27.000+09:00,【三田市】「なぜ私のロングは重たく見えるの？」5つの原因と、長さを変えずにできること,https://note.com/koichi_ikeda/n/n8ee093a81681,PUBLIC,2026-09-16,CEP1_CHANGE_WITHOUT_FAILURE,TITLE_RULE,B_JUDGMENT,A_ENTRY,LEGACY_REGISTRY,【三田市】「なぜ私のロングは重たく見えるの？」5つの原因と、長さを変えずにできること,TITLE_PROXY,B_PROFESSIONAL_JUDGMENT,ARTICLE_TEXT_OPERATIONAL_CLASSIFICATION,NOTE_ARTICLE,RELATED_CASE_OR_PRECONSULT,NO,NO,NO,NO,12,,12,NO,NO,YES,YES,YES,CONSULTATION;LINE;RESERVATION,AGE_ANXIETY:若見え,NO,NO,12,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SUPPORTED,POTENTIAL,UNKNOWN,AUDIENCE;CHECKS;CONCERN;JUDGMENT_BRANCH;NEXT_STEP;NOT_DO,ACTUAL_CASE,PUBLIC_SNAPSHOT_ONLY,UNKNOWN,35,P1_CANDIDATE,BRAND_REVIEW;INTERNAL_UTM,YES,ikeda-official-web/note_article_registry_2026-09-13.csv
